Country,Date,District,,Elevation,Rainfall,PopDensity,PopDensityUnder5
Ghana,1/2/2022,GH0101,Asunafo North Municipal,230.402983,97.155556,43.61735641,6.185283525
Ghana,1/2/2022,GH0102,Asunafo South,214.3646687,117.07143,23.1912098,3.289710524
Ghana,1/2/2022,GH0103,Asutifi North,255.3114998,86.84375,21.47179393,3.047514333
Ghana,1/2/2022,GH0104,Asutifi South,201.3347779,92.368416,21.42825167,3.040840809
Ghana,1/2/2022,GH0105,Tano North Municipal,270.8468029,76.93333,11.49346303,1.628804286
Ghana,1/2/2022,GH0106,Tano South Municipal,296.0367537,74.92307,9.985958773,1.414628689
Ghana,1/2/2022,GH0201,Adansi Akrofuom,161.1901014,NA,17.2825849,2.307636763
Ghana,1/2/2022,GH0202,Adansi Asokwa,189.6785281,126.13793,10.3522617,1.384909845
Ghana,1/2/2022,GH0203,Adansi North,267.4502123,NA,7.939765855,1.061577478
Ghana,1/2/2022,GH0204,Adansi South,129.8848908,134.38637,10.24399817,1.371549733
Ghana,1/2/2022,GH0205,Afigya Kwabre North,300.1092884,NA,29.74577442,3.973933478
Ghana,1/2/2022,GH0206,Afigya Kwabre South,276.8767529,77.846146,10.29524931,1.375162949
Ghana,1/2/2022,GH0207,Ahafo Ano North,227.9390903,92.52941,23.57821791,3.163735757
Ghana,1/2/2022,GH0208,Ahafo Ano South East,273.1627887,92.25001,13.80450232,1.847846823
Ghana,1/2/2022,GH0209,Ahafo Ano South West,328.0869258,NA,14.26884093,1.910594135
Ghana,1/2/2022,GH0210,Amansie Central,174.2769882,120.384605,10.67440768,1.427319097
Ghana,1/2/2022,GH0211,Amansie South,178.241802,NA,14.98097401,2.004559862
Ghana,1/2/2022,GH0212,Amansie West,232.1346051,117.24325,14.76199404,1.974991358
Ghana,1/2/2022,GH0213,Asante Akim Central Municipal,224.9930717,88.3,8.104633682,1.082079769
Ghana,1/2/2022,GH0214,Asante Akim North,212.2841516,73.075,8.173098751,1.091241757
Ghana,1/2/2022,GH0215,Asante Akim South,220.1979635,106.52631,14.86966317,1.988485888
Ghana,1/2/2022,GH0216,Asokore Mampong Municipal,271.0660007,87,82.96528105,11.07345227
Ghana,1/2/2022,GH0217,Asokwa Municipal,245.3342803,NA,83.930581,11.202292
Ghana,1/2/2022,GH0218,Atwima Kwanwoma,237.1022351,111,11.3862821,1.520347463
Ghana,1/2/2022,GH0219,Atwima Mponua,250.5097688,112.5625,20.08024633,2.690502591
Ghana,1/2/2022,GH0220,Atwima Nwabiagya North,246.6690225,NA,7.89143046,1.053647721
Ghana,1/2/2022,GH0221,Atwima Nwabiagya South,221.9572673,97.80952,7.84590197,1.047576436
Ghana,1/2/2022,GH0222,Bekwai Municipal,230.5510385,115.76472,12.24681737,1.634559225
Ghana,1/2/2022,GH0223,Bosome Freho,255.9797717,131.89473,11.38558121,1.52171763
Ghana,1/2/2022,GH0224,Bosomtwe,222.3584144,110.49999,8.563015308,1.142852893
Ghana,1/2/2022,GH0225,Ejisu Municipal,243.8044286,92.52941,7.590774615,1.01312847
Ghana,1/2/2022,GH0226,Ejura-Sekyedumase,217.9634059,45.65909,9.539959376,1.276367094
Ghana,1/2/2022,GH0227,Juaben Municipal,276.5244894,NA,5.05564978,0.674592676
Ghana,1/2/2022,GH0228,Kumasi Metropolitan,265.4864547,NA,83.930581,11.202292
Ghana,1/2/2022,GH0229,Kwabre East,307.455856,86.5,3.328867251,0.444283294
Ghana,1/2/2022,GH0230,Kwadaso Municipal,246.9643614,100.99999,80.92739498,10.80147012
Ghana,1/2/2022,GH0231,Mampong Municipal,293.0194719,46.23809,9.275302006,1.23880942
Ghana,1/2/2022,GH0232,Obuasi East,181.8335223,NA,7.539006981,1.007830826
Ghana,1/2/2022,GH0233,Obuasi Municipal,218.3229738,116.5,13.16389176,1.758043202
Ghana,1/2/2022,GH0234,Offinso Municipal,313.7628257,72.09523,7.457448965,0.995867575
Ghana,1/2/2022,GH0235,Offinso North,319.403061,73.74193,8.659036935,1.159286872
Ghana,1/2/2022,GH0236,Oforikrom Municipal,258.8232645,NA,79.62938441,10.6282062
Ghana,1/2/2022,GH0237,Old Tafo Municipal,279.6135238,NA,58.32619596,7.784844512
Ghana,1/2/2022,GH0238,Sekyere Afram Plains North,135.5522746,53.991306,14.83660546,1.984432012
Ghana,1/2/2022,GH0239,Sekyere Central,195.0876348,51.148148,11.34946294,1.517291418
Ghana,1/2/2022,GH0240,Sekyere East,266.8082576,81.714294,4.969427,0.663073
Ghana,1/2/2022,GH0241,Sekyere Kumawu,319.5013982,69.95,12.40292478,1.657425644
Ghana,1/2/2022,GH0242,Sekyere South,325.3524081,60.69231,18.07336265,2.411827751
