date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2022-01-01,1,900854,GH02,798.0,1.6315789,3.6427736,7.9298244,18.88914,244.74062,215.7081,76.72976,54.124283,113.15426,final
2022-01-11,1,900854,GH02,798.0,1.4573935,2.7609022,7.310777,12.792106,189.58147,156.9993,83.20416,69.19235,120.11254,final
2022-01-21,1,900854,GH02,798.0,1.4862156,6.756349,4.575188,13.160025,118.897224,100.93584,55.17202,52.726734,116.95497,final
2022-02-01,1,900854,GH02,798.0,2.566416,12.038555,5.510025,21.555805,86.81577,88.25856,44.407616,39.57713,98.45292,final
2022-02-11,1,900854,GH02,798.0,17.488722,19.411488,21.541353,38.20639,49.13158,88.55598,92.12352,61.429234,57.8601,final
2022-02-21,1,900854,GH02,798.0,7.5551376,17.82736,27.610275,49.2774,40.370926,89.00999,55.000393,60.08076,48.261814,final
2022-03-01,1,900854,GH02,798.0,37.893482,31.506975,62.93734,68.74582,76.37719,109.190765,117.49394,92.12365,71.26425,final
2022-03-11,1,900854,GH02,798.0,30.882206,35.440517,76.330826,84.77486,105.18295,135.77335,88.728355,90.594215,78.26975,final
2022-03-21,1,900854,GH02,798.0,39.64035,43.54695,108.41604,110.494446,140.6015,172.93187,91.95294,98.20043,81.82992,final
2022-04-01,1,900854,GH02,798.0,43.49248,50.353886,114.01503,129.34135,182.4624,219.64297,87.60448,88.59151,83.449036,final
2022-04-11,1,900854,GH02,798.0,60.71303,49.866917,143.84586,143.76775,241.71803,266.749,119.768036,100.0525,90.78894,final
2022-04-21,1,900854,GH02,798.0,56.478695,47.786884,160.6842,148.00769,296.7105,307.77954,116.46585,108.28489,96.461075,final
2022-05-01,1,900854,GH02,798.0,82.0213,52.530617,199.21303,150.18442,376.1654,348.2716,151.26085,131.59378,107.89585,final
2022-05-11,1,900854,GH02,798.0,49.345863,49.720592,187.84586,150.0381,408.02252,378.58072,99.31519,124.38611,107.675514,final
2022-05-21,1,900854,GH02,798.0,60.453632,59.91704,191.82079,162.16826,460.92105,420.67038,100.82658,117.73813,109.45583,final
2022-06-01,1,900854,GH02,798.0,48.25564,74.77452,158.05515,184.41216,471.2832,463.93793,66.757706,86.08484,101.56636,final
2022-06-11,1,900854,GH02,798.0,70.489975,60.91019,179.19925,195.60176,510.891,489.4076,114.53461,91.82335,104.34528,final
2022-06-21,1,900854,GH02,798.0,94.29574,57.932457,213.04135,193.61717,565.5463,503.7931,157.78145,109.7797,112.1372,final
2022-07-01,1,900854,GH02,798.0,57.221806,53.943775,222.0075,172.78642,579.2757,507.383,105.56128,127.68551,114.03105,final
2022-07-11,1,900854,GH02,798.0,17.753134,40.488724,169.27068,152.36496,536.3158,498.0048,50.019283,110.743,107.616425,final
2022-07-21,1,900854,GH02,798.0,36.929825,29.013659,111.90476,123.44615,516.7669,479.23157,123.273506,91.0146,107.751526,final
2022-08-01,1,900854,GH02,798.0,9.266917,19.240726,63.94988,88.74311,444.0125,445.94168,58.85516,73.55194,99.5722,final
2022-08-11,1,900854,GH02,798.0,18.175438,22.309565,64.37218,70.56395,412.84213,418.53067,84.861984,91.805916,98.656876,final
2022-08-21,1,900854,GH02,798.0,71.43484,40.29837,98.8772,81.84866,423.8233,398.912,168.7364,119.60714,106.16751,final
2022-09-01,1,900854,GH02,798.0,15.749373,47.960987,105.35965,110.568924,391.31702,372.09845,39.1786,95.49249,105.096436,final
2022-09-11,1,900854,GH02,798.0,76.37845,58.86274,163.56265,147.1221,397.2055,370.051,127.42712,110.807465,107.24023,final
2022-09-21,1,900854,GH02,798.0,149.89098,74.246155,242.0188,181.06989,452.80078,386.36472,195.45552,132.75592,116.97549,final
2022-10-01,1,900854,GH02,798.0,66.66541,60.72924,292.93484,193.83813,462.24435,393.15018,109.03125,149.83788,117.3538,final
2022-10-11,1,900854,GH02,798.0,53.98872,61.798496,270.5451,196.7739,498.47992,414.45993,88.30846,136.56133,120.03051,final
2022-10-21,1,900854,GH02,798.0,63.385963,62.366375,184.0401,184.8941,524.9361,447.81265,101.5135,99.55027,117.03209,final
2022-11-01,1,900854,GH02,798.0,23.246866,25.036633,140.62155,149.2015,538.9161,453.60855,94.04139,94.43588,118.60138,final
2022-11-11,1,900854,GH02,798.0,19.75564,19.637928,106.388466,107.04094,540.49615,450.93692,100.47777,99.41765,119.6429,final
2022-11-21,1,900854,GH02,798.0,13.790727,17.316584,56.793232,61.991146,482.8521,427.95514,84.20073,92.24089,112.6796,final
2022-12-01,1,900854,GH02,798.0,15.949875,10.696783,49.496243,47.651295,483.0526,390.69092,133.46603,103.50409,123.34188,final
2022-12-11,1,900854,GH02,798.0,12.085213,8.793275,41.825813,36.80664,418.7594,340.62146,123.86625,112.005684,122.607956,final
2022-12-21,1,900854,GH02,798.0,2.2681704,6.337343,30.303257,25.827402,271.13657,272.71265,64.10824,114.51908,99.43248,final
2023-01-01,1,900854,GH02,798.0,1.1140351,3.6427736,15.467419,18.88914,205.5852,215.7081,70.741585,85.67667,95.413445,final
2023-01-11,1,900854,GH02,798.0,0.9586466,2.7609022,4.3408523,12.792106,152.55511,156.9993,76.777756,52.49998,97.25667,final
2023-01-21,1,900854,GH02,798.0,8.41604,6.756349,10.488722,13.160025,97.58521,100.93584,114.11739,85.29021,96.83712,final
2023-02-01,1,900854,GH02,798.0,31.421053,12.038555,40.79574,21.555805,105.7594,88.25856,213.75668,172.45094,118.76594,final
2023-02-11,1,900854,GH02,798.0,3.3070176,19.411488,43.14411,38.20639,89.31077,88.55598,34.029133,111.42822,100.806786,final
2023-02-21,1,900854,GH02,798.0,13.256892,17.82736,47.984962,49.2774,88.77693,89.00999,79.97812,97.61883,99.7521,final
2023-03-01,1,900854,GH02,798.0,49.517544,31.506975,66.08145,68.74582,122.34462,109.190765,149.3346,96.38709,111.519196,final
2023-03-11,1,900854,GH02,798.0,27.95614,35.440517,90.730576,84.77486,138.21555,135.77335,81.492874,106.634056,101.73484,final
2023-03-21,1,900854,GH02,798.0,57.293232,43.54695,134.76692,110.494446,193.2406,172.93187,128.31543,121.01614,111.413765,final
2023-04-01,1,900854,GH02,798.0,39.803257,50.353886,125.05263,129.34135,231.92982,219.64297,80.93968,96.80759,105.4695,final
2023-04-11,1,900854,GH02,798.0,65.61153,49.866917,162.70801,143.76775,296.5827,266.749,128.696,112.73143,110.97841,final
2023-04-21,1,900854,GH02,798.0,47.378445,47.786884,152.79323,148.00769,335.5451,307.77954,99.22625,103.12765,108.87704,final
2023-05-01,1,900854,GH02,798.0,41.484962,52.530617,154.47495,150.18442,345.609,348.2716,80.80039,102.7648,99.24631,final
2023-05-11,1,900854,GH02,798.0,59.716793,49.720592,148.5802,150.0381,402.01877,378.58072,118.267715,99.05965,106.11034,final
2023-05-21,1,900854,GH02,798.0,27.784462,59.91704,128.9862,162.16826,416.54636,420.67038,50.50209,80.15051,99.031166,final
2023-06-01,1,900854,GH02,798.0,70.690475,74.77452,158.19173,184.41216,437.7193,463.93793,94.880516,86.156944,94.408936,final
2023-06-11,1,900854,GH02,798.0,51.073936,60.91019,149.54887,195.60176,460.83707,489.4076,85.07629,77.04263,94.22126,final
2023-06-21,1,900854,GH02,798.0,97.26566,57.932457,219.03008,193.61717,500.8095,503.7931,162.50067,112.794914,99.4136,final
2023-07-01,1,900854,GH02,798.0,107.327065,53.943775,255.66666,172.78642,568.3334,507.383,190.56645,146.61786,111.89548,final
2023-07-11,1,900854,GH02,798.0,68.8584,40.488724,273.4511,152.36496,571.5802,498.0048,162.3664,176.94608,114.62718,final
2023-07-21,1,900854,GH02,798.0,50.670425,29.013659,226.85588,123.44615,574.87213,479.23157,163.6708,180.50824,119.751,final
2023-08-01,1,900854,GH02,798.0,47.05263,19.240726,166.58145,88.74311,580.4398,445.94168,214.73215,183.03368,129.82605,final
2023-08-11,1,900854,GH02,798.0,40.52757,22.309565,138.25063,70.56395,561.2506,418.53067,166.70924,189.57535,133.69766,final
2023-08-21,1,900854,GH02,798.0,24.754387,40.29837,112.33459,81.84866,558.2206,398.912,65.68534,135.10236,139.4414,final
2023-09-01,1,900854,GH02,798.0,60.508774,47.960987,125.790726,110.568924,548.0389,372.09845,123.69251,113.17118,146.65637,final
2023-09-11,1,900854,GH02,798.0,49.521305,58.86274,134.78447,147.1221,546.4862,370.051,85.372635,91.88965,147.04298,final
2023-09-21,1,900854,GH02,798.0,43.378445,74.246155,153.40852,181.06989,492.59897,386.36472,61.048317,85.13389,127.14456,final
2023-10-01,1,900854,GH02,798.0,69.38471,60.72924,162.28445,193.83813,454.65665,393.15018,113.16837,84.130974,115.44806,final
2023-10-11,1,900854,GH02,798.0,87.62531,61.798496,200.38846,196.7739,473.42355,414.45993,138.66379,101.7914,114.05703,final
2023-10-21,1,900854,GH02,798.0,62.01128,62.366375,219.0213,184.8941,484.7644,447.81265,99.47288,117.971695,108.16049,final
2023-11-01,1,900854,GH02,798.0,30.642857,25.036633,180.27945,149.2015,468.35464,453.60855,118.66462,120.154106,103.21539,final
2023-11-11,1,900854,GH02,798.0,14.144111,19.637928,106.79825,107.04094,441.9712,450.93692,77.7018,99.783394,98.03356,final
2023-11-21,1,900854,GH02,798.0,36.43609,17.316584,81.22305,61.991146,453.6529,427.95514,185.67398,128.70813,105.93543,final
2023-12-01,1,900854,GH02,798.0,7.082707,10.696783,57.662907,47.651295,400.2268,390.69092,76.975685,119.014946,102.409935,final
2023-12-11,1,900854,GH02,798.0,1.943609,8.793275,45.462402,36.80664,352.6491,340.62146,50.340538,120.70427,103.48,final
2023-12-21,1,900854,GH02,798.0,2.424812,6.337343,11.451128,25.827402,311.69547,272.71265,65.489876,53.36528,114.03711,final
2024-01-01,1,900854,GH02,798.0,9.388472,3.6427736,13.756893,18.88914,251.69923,215.7081,166.4798,78.5164,116.30711,final
2024-01-11,1,900854,GH02,798.0,2.1115289,2.7609022,13.924812,12.792106,166.18546,156.9993,91.63276,106.36633,105.67049,final
2024-01-21,1,900854,GH02,798.0,2.9611528,6.756349,14.461153,13.160025,107.13534,100.93584,67.717896,107.16479,105.85213,final
2024-02-01,1,900854,GH02,798.0,2.3596492,12.038555,7.4323306,21.555805,78.85213,88.25856,43.19409,46.81587,89.9136,final
2024-02-11,1,900854,GH02,798.0,7.488722,19.411488,12.809524,38.20639,72.19674,88.55598,51.159203,41.219654,82.51396,final
2024-02-21,1,900854,GH02,798.0,10.834586,17.82736,20.682957,49.2774,46.595238,89.00999,69.3667,47.317955,54.882717,final
2024-03-01,1,900854,GH02,798.0,71.88095,31.506975,90.204254,68.74582,111.39348,109.190765,210.59251,129.09782,101.92897,final
2024-03-11,1,900854,GH02,798.0,97.6579,35.440517,180.37344,84.77486,207.10777,135.77335,253.84912,206.48703,150.67325,final
2024-03-21,1,900854,GH02,798.0,55.541355,43.54695,225.0802,110.494446,260.2243,172.93187,124.70682,199.21323,149.05948,final
2024-04-01,1,900854,GH02,798.0,27.305765,50.353886,180.50502,129.34135,278.1416,219.64297,58.362232,138.08482,126.04071,final
2024-04-11,1,900854,GH02,798.0,35.076443,49.866917,117.92357,143.76775,311.1065,266.749,73.043,82.62783,116.32297,final
2024-04-21,1,900854,GH02,798.0,39.690475,47.786884,102.072685,148.00769,347.83582,307.77954,84.66208,69.97863,112.80655,final
2024-05-01,1,900854,GH02,798.0,28.333334,52.530617,103.10026,150.18442,373.80954,348.2716,57.940166,69.65922,107.22898,final
2024-05-11,1,900854,GH02,798.0,71.18797,49.720592,139.21179,150.0381,437.5088,378.58072,139.2309,93.017,115.36262,final
2024-05-21,1,900854,GH02,798.0,45.47243,59.91704,144.99374,162.16826,472.14664,420.67038,77.74913,89.72621,112.09299,final
2024-06-01,1,900854,GH02,798.0,60.80827,74.77452,177.46867,184.41216,461.07397,463.93793,82.49284,96.3342,99.38927,final
2024-06-11,1,900854,GH02,798.0,75.22556,60.91019,181.50626,195.60176,438.6416,489.4076,121.71951,92.97339,89.73196,final
2024-06-21,1,900854,GH02,798.0,111.65539,57.932457,247.68921,193.61717,494.75565,503.7931,185.36601,127.22426,98.22375,final
2024-07-01,1,900854,GH02,798.0,31.566416,53.943775,218.44737,172.78642,499.0163,507.383,62.03609,125.68304,98.3671,final
2024-07-11,1,900854,GH02,798.0,15.224311,40.488724,158.4461,152.36496,479.16415,498.0048,44.460056,103.86436,96.25439,final
2024-07-21,1,900854,GH02,798.0,5.5062656,29.013659,52.29699,123.44615,444.97995,479.23157,30.888376,44.60779,92.926605,final
2024-08-01,1,900854,GH02,798.0,6.1591477,19.240726,26.889723,88.74311,422.80576,445.94168,46.034706,34.018204,94.869415,final
2024-08-11,1,900854,GH02,798.0,10.902256,22.309565,22.567669,70.56395,362.52002,418.53067,58.229618,36.482567,86.7753,final
2024-08-21,1,900854,GH02,798.0,41.933582,40.29837,58.994987,81.84866,358.98117,398.912,103.60987,73.68563,90.11398,final
2024-09-01,1,900854,GH02,798.0,9.977444,47.960987,62.813282,110.568924,308.1504,372.09845,28.280146,58.67778,83.042076,final
2024-09-11,1,900854,GH02,798.0,14.23183,58.86274,66.14285,147.1221,247.15663,370.051,30.11432,46.76694,67.23263,final
2024-09-21,1,900854,GH02,798.0,48.58772,74.246155,72.797,181.06989,184.08897,386.36472,67.62185,41.81063,48.315285,final
2024-10-01,1,900854,GH02,798.0,103.30326,60.72924,166.1228,193.83813,255.8258,393.15018,164.7718,86.061356,65.5094,final
2024-10-11,1,900854,GH02,798.0,81.710526,61.798496,233.6015,196.7739,322.312,414.45993,129.80911,118.25192,78.03177,final
2024-10-21,1,900854,GH02,798.0,100.94235,62.366375,285.95615,184.8941,417.74814,447.81265,157.26294,153.22021,93.3605,final
2024-11-01,1,900854,GH02,798.0,15.631579,25.036633,198.28445,149.2015,427.22055,453.60855,68.68806,131.8304,94.24607,final
2024-11-11,1,900854,GH02,798.0,12.426065,19.637928,129.0,107.04094,428.7444,450.93692,70.728615,119.59914,95.13254,final
2024-11-21,1,900854,GH02,798.0,3.6553884,17.316584,31.713032,61.991146,390.4662,427.95514,38.784554,54.80281,91.34114,final
2024-12-01,1,900854,GH02,798.0,1.3759398,10.696783,17.457394,47.651295,381.8647,390.69092,40.619408,42.65307,97.76941,final
2024-12-11,1,900854,GH02,798.0,1.6203008,8.793275,6.651629,36.80664,369.25314,340.62146,47.996582,27.870283,108.28412,final
2024-12-21,1,900854,GH02,798.0,1.8170426,6.337343,4.813283,25.827402,322.48248,272.71265,60.1291,31.832987,117.92134,final
