ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80PLUS,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80PLUS,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80PLUS
GHANA,GH,ASHANTI,GH02,KUMASI METROPOLITAN,,1234331,1157492,2391823,138064,125819,132170,132148,127971,112287,101344,86651,68477,55858,45663,37334,23842,19512,12035,7970,7186,141056,124437,117846,113959,129781,111450,97293,80701,63858,47832,39182,32385,20821,15495,10498,6249,4649,279120,250256,250016,246107,257752,223737,198637,167352,132335,103690,84845,69719,44663,35007,22533,14219,11835
GHANA,GH,ASHANTI,GH02,OBUASI MUNICIPALITY,,253636,240564,494200,29444,27980,32214,28917,24290,20088,18285,18592,15538,12860,8570,6189,3619,2685,1860,1279,1226,29138,27426,29885,26886,22391,19263,16690,14741,13662,13134,10562,7221,4011,2411,1537,906,700,58582,55406,62099,55803,46681,39351,34975,33333,29200,25994,19132,13410,7630,5096,3397,2185,1926
GHANA,GH,ASHANTI,GH02,EJISU-JUABEN MUNICIPAL,,70935,66219,137154,9553,8835,8211,6803,5687,5070,4868,4526,3540,3230,2800,2293,1633,1464,1041,655,726,9611,9068,8290,6628,5291,4381,4367,3987,3229,2778,2436,1936,1481,1171,714,484,367,19164,17903,16501,13431,10978,9451,9235,8513,6769,6008,5236,4229,3114,2635,1755,1139,1093
GHANA,GH,ASHANTI,GH02,BEKWAI MUNICIPALITY,GH0222,100192,91235,191427,13471,12961,11962,9384,7424,6175,6041,5924,5104,4762,4150,3497,2604,2180,1904,1351,1298,13324,12882,12094,9384,6039,5227,5051,4939,4288,4114,3640,3162,2279,1901,1286,892,733,26795,25843,24056,18768,13463,11402,11092,10863,9392,8876,7790,6659,4883,4081,3190,2243,2031
GHANA,GH,ASHANTI,GH02,MAMPONG MUNICIPAL,GH0231,42862,41059,83921,5880,5628,5187,4214,3521,2881,2722,2406,2054,2047,1633,1431,977,791,658,394,438,5710,5560,5336,4305,3351,2883,2542,2258,1905,1672,1496,1246,904,741,520,337,293,11590,11188,10523,8519,6872,5764,5264,4664,3959,3719,3129,2677,1881,1532,1178,731,731
GHANA,GH,ASHANTI,GH02,OFFINSO MUNICIPALITY,GH0234,32936,31255,64191,4676,4499,3976,3323,2773,2279,2056,1913,1547,1489,1228,914,694,587,459,266,257,4759,4452,4052,3328,2468,1932,1856,1757,1393,1279,1134,872,692,486,398,214,183,9435,8951,8028,6651,5241,4211,3912,3670,2940,2768,2362,1786,1386,1073,857,480,440
GHANA,GH,ASHANTI,GH02,ASOKORE MAMPONG MUNICIPALITY,GH0216,331509,312308,643817,40346,36366,35570,36699,34828,28828,25477,21918,17276,13890,11618,8927,6232,4961,3704,2639,2230,40991,36525,32467,30860,32402,28065,24786,21092,16133,12397,10031,8197,6204,4975,3436,2107,1640,81337,72891,68037,67559,67230,56893,50263,43010,33409,26287,21649,17124,12436,9936,7140,4746,3870
GHANA,GH,ASHANTI,GH02,ASANTE AKIM CENTRAL MUNICIPALITY,GH0213,35465,32693,68158,4801,4109,4259,3396,3089,2643,2339,2018,1686,1663,1426,1260,862,739,503,318,354,4713,4338,3994,3533,2616,2333,2114,1838,1499,1334,1088,1032,780,596,409,257,219,9514,8447,8253,6929,5705,4976,4453,3856,3185,2997,2514,2292,1642,1335,912,575,573
GHANA,GH,ASHANTI,GH02,EJURA SEKYEDUMASI MUNICIPAL,GH0226,38145,39275,77420,5355,5210,4667,4045,3360,2840,2542,2182,1791,1578,1304,925,764,584,481,279,238,6061,5423,4643,4145,3301,2752,2415,2252,1805,1549,1375,998,833,624,510,321,268,11416,10633,9310,8190,6661,5592,4957,4434,3596,3127,2679,1923,1597,1208,991,600,506
GHANA,GH,ASHANTI,GH02,AHAFO ANO SOUTH,,43599,45769,89368,6806,6303,5219,3769,3085,2801,2623,2737,2283,2017,1717,1236,1022,754,576,331,320,6966,6422,5872,4656,2966,2650,2651,2647,2317,2232,1909,1420,1109,755,565,341,291,13772,12725,11091,8425,6051,5451,5274,5384,4600,4249,3626,2656,2131,1509,1141,672,611
