Country ISO3,Admin 1 PCode,Admin 1 Name,MPI,Headcount Ratio,Intensity of Deprivation,Vulnerable to Poverty,In Severe Poverty,Survey,Start Date,End Date
GHA,,,0.1128,24.7994,45.4788,19.9776,8.3621,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH01,Ahafo,0.1269,29.8100,42.5692,29.0706,6.3139,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH02,Ashanti,0.0600,15.2373,39.3861,22.7742,1.7279,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH03,Bono,0.0661,15.9302,41.4985,21.1709,4.4621,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH04,Bono East,0.1709,34.7825,49.1223,21.1389,14.6254,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH05,Central,0.0821,19.7119,41.6446,22.5895,5.1662,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH06,Eastern,0.0688,17.1341,40.1462,18.2290,1.7558,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH07,Greater Accra,0.0211,5.3986,38.9945,12.7912,0.3746,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH08,North East,0.3394,68.7396,49.3695,16.9351,34.2038,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH08,Northern,0.3086,60.9137,50.6683,16.0666,30.3454,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH10,Oti,0.2192,46.7207,46.9186,19.1463,19.4650,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH11,Savannah,0.3255,59.8254,54.4087,15.3578,36.7346,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH12,Upper East,0.1571,36.5396,43.0027,24.4938,10.3078,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH13,Upper West,0.1767,38.9613,45.3513,26.6910,13.8223,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH14,Volta,0.0831,20.5735,40.3739,19.9097,2.6704,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH15,Western,0.0537,12.5552,42.7850,22.7052,3.6360,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
GHA,GH16,Western North,0.1015,22.8710,44.3907,22.6523,8.0351,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
