district_name,district_code,region,name_clean,area_km2,elev_mean,elev_median,elev_sd,precip_mean,travel_time_mean,travel_time_median,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density
Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.5245785172697,231.10789489746094,229.5857133213108,30.056434631347656,1290.839599609375,124.16492462158203,111.55480969479743,0.262,0.1,0.6908514900687963,0.3091485099312037,18411,151258,0.12171918179534305,106.70573356704392
Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.4042481016039,213.5439910888672,200.91152535838822,51.52210998535156,1393.3262939453125,106.18099212646484,94.38981410071763,0.261,0.1,0.6595255230555699,0.3404744769444301,11365,91693,0.12394621181551481,98.87058441633789
Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355478956202,256.49298095703125,256.1816321772869,30.71179962158203,1219.246337890625,101.95581817626953,90.76215439607523,0.23199999999999998,0.1,0.7004844775929113,0.2995155224070887,8905,73556,0.12106422317689923,78.23978166195951
Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596913577988,201.39442443847656,199.75403589336233,23.631765365600586,1286.0069580078125,77.93331146240234,74.10812174684676,0.266,0.1,0.6535052235393436,0.3464947764606564,8622,67334,0.12804823714616687,112.26829840391947
Tano North,GHA1.5_2,Ahafo,tano north,841.0711354108049,271.4891662597656,271.19612194526917,40.24219512939453,1213.422607421875,57.58964538574219,51.02622211381115,0.21600000000000003,0.1,0.7261663286004056,0.27383367139959436,10962,93838,0.116818347,111.56963549125562
Tano South,GHA1.6_2,Ahafo,tano south,491.2134564,296.81390380859375,300.13138201686814,27.174001693725586,1239.6920166015625,68.97888946533203,62.926263444397144,0.237,0.1,0.6726009845572865,0.32739901544271355,10575,86989,0.12156709469013323,177.0900183193535
Adansi Akrofuom,GHA2.1_2,Ashanti,akrofuom,570.8592388209779,158.7595215,147.51828330365487,45.46206283569336,1409.503418,81.15028381347656,66.23178881348063,0.37,0.2,0.6475238095238095,0.3524761904761905,6019,49291,0.12211154166074943,86.34527856955243
Adansi Asokwa,GHA2.2_2,Ashanti,adansi asokwa,598.6514356838657,186.77346801757813,169.56330056617315,60.88227081298828,1407.3397216796875,65.36528015136719,58.805110391175354,0.324,0.1,0.6694559307133787,0.3305440692866213,8536,71844,0.11881298368687712,120.0097347431055
Adansi North,GHA2.3_2,Ashanti,adansi north,259.0451784491107,263.4306945800781,243.07210863629624,65.21331024169922,1374.3460693359375,29.478504180908203,27.78149387031236,0.19699999999999998,0.1,0.7895333904109589,0.21046660958904106,6179,54155,0.11409842119841196,209.05619754910327
Adansi South,GHA2.4_2,Ashanti,adansi south,763.6903398807265,129.2974090576172,125.94754351550972,29.51862907409668,1455.054199,81.26263427734375,73.84925008438294,0.35,0.2,0.6822221303682884,0.3177778696317116,10210,85200,0.1198356807511737,111.5635429057628
Afigya-Kwabre North,GHA2.5_2,Ashanti,afigya kwabre north,187.25902867300888,300.8684387207031,298.37324258390066,32.97086715698242,1284.6011962890625,81.54840087890625,79.94343072483258,0.252,0.1,0.7128111321617561,0.28718886783824393,10031,73330,0.13679258148097642,391.59660561974084
Afigya-Kwabre South,GHA2.6_2,Ashanti,afigya kwabre south,224.01131751966426,277.8235778808594,276.7822765818307,23.55263328552246,1334.268798828125,71.08880615234375,70.31775063506676,0.13,0.1,0.8408671889601107,0.1591328110398893,30127,234667,0.1283819199120456,1047.5676077366063
Ahafo-Ano North,GHA2.7_2,Ashanti,ahafo ano north,596.2397379469718,228.0541229248047,230.75700804390465,28.048870086669922,1277.4134521484375,78.001434326171875,75.03516186865731,0.265,0.1,0.7046485767967382,0.2953514232032618,11929,92742,0.12862565,155.54481544510585
Ahafo-Ano South East,GHA2.8_2,Ashanti,ahafo ano south east,689.2932249,273.49652099609375,264.0122409591533,48.752506256103516,1305.0863037109375,103.64142608642578,100.82425981167823,0.318,0.1,0.6145411383461763,0.3854588616538237,8622,63468,0.13584798638684062,92.07692417384501
Ahafo-Ano South West,GHA2.9_2,Ashanti,ahafo ano south west,506.8048793740951,326.96649169921875,301.5488791874026,97.823150634765625,1308.9947509765625,122.70854949951172,116.93668524218974,0.319,0.1,0.627574278,0.372425722,8594,65770,0.13066747757336172,129.7738097573687
Amansie Central,GHA2.10_2,Ashanti,amansie central,853.5403877,172.7322235107422,171.85577381973806,28.454593658447266,1367.195313,69.16490936279297,57.501377625592866,0.28600000000000003,0.1,0.6563170373715705,0.34368296262842946,10975,93052,0.11794480505523793,109.01885996543075
Amansie South,GHA2.11_2,Ashanti,amansie south,595.6983216185465,176.7686767578125,172.31666233655116,34.77853775024414,1386.692871,120.60235595703125,112.05456933192806,0.303,0.1,0.6446391956451596,0.3553608043548404,14268,113155,0.12609252794838938,189.9535316677599
