ADM2_NAME,n_obs,direct_prev,direct_se,direct_low,direct_upp,direct_cv,iid_prev,iid_se,iid_cv,spatial_prev,spatial_se,spatial_cv,itn_coverage,pfpr_map,accessibility
ABUAKWA NORTH,12,0.12869676636004193,0.11173445856772862,-0.09075355185630671,0.34814708457639054,0.8681994251132964,0.2161529426160739,0.09123147001379764,0.4220690632735959,0.1274259365808332,0.04806958595692724,0.3772354926065941,0.10235201868872018,0.18406178057193756,9.776191711425781
ABURA-ASEBU-KWAMANKESE,11,0.11462070345324882,0.05061932715802969,0.015202604550539914,0.21403880235595774,0.44162464225912,0.15932429309717325,0.05383952402417215,0.33792413559515977,0.1537690294478076,0.05395750861427357,0.3508997150338903,0.5383860588240679,0.18635286390781403,6.872013568878174
ADA EAST,8,0.14285714285714285,6.938893903907226e-18,0.14285714285714285,0.14285714285714285,4.8572257327350586e-17,0.1450958422249925,0.01172615859539968,0.08081664102556806,0.1430504972930953,0.012393802856239181,0.0866393552679904,1,0.1598484367132187,12.123185157775879
ADENTAN,11,0.1080350554917389,0.0711725489598927,-0.0317502776787766,0.24782038866225442,0.6587912473033813,0.18395572742018754,0.07622454701519397,0.41436354325127145,0.1308461944185028,0.07290074789681088,0.5571484002327398,0.4504528494806738,0.09862520545721054,3.597092866897583
AFADJATO SOUTH,10,0.30095665333965804,0.07254098555673966,0.15848366364414196,0.4434296430351741,0.2410346631375858,0.2918078064294001,0.0628349033353959,0.21532975455404127,0.281896249787837,0.05864331631887783,0.20803155899737732,0.7009566533396581,0.2921629846096039,16.659770965576172
AFIGYA KWABRE SOUTH,15,0.19606260617701918,0.0870034037582673,0.025184929895230856,0.3669402824588075,0.44375317381895085,0.2226258807220496,0.07229752360888873,0.3247489616858735,0.2317843699966581,0.08519245509248653,0.36755047414851505,0.43923136442617444,0.14467808604240417,5.718035697937012
AGONA EAST,12,0.35615906363133915,0.1897490303294453,-0.016514555776765694,0.728832683039444,0.5327648506113966,0.29443897788803747,0.10315949909279715,0.35035952044373786,0.2956638730912074,0.10256764143974995,0.34690623635343343,0.5723191942722792,0.20498254895210266,7.891491889953613
AGONA WEST,16,0.2965378388368013,0.17466683784319048,-0.046513835981107254,0.6395895136547098,0.5890204047090187,0.2722736283986788,0.09498951042908219,0.3488751774740117,0.2539430390184367,0.10494550948829726,0.41326397405474086,0.7343690604813315,0.21503973007202148,12.458333969116211
AHANTA WEST,27,0.2725147681743988,0.0696857786442777,0.13564950302102555,0.40938003332777206,0.25571376961002545,0.2711869713684237,0.05961177883126609,0.21981800427381126,0.2511032507947583,0.060723868029009254,0.24182828313378746,0.5109844451504936,0.3396950960159302,15.742379188537598
AJUMAKO-ENYAN-ESSIAM,11,0.11002423751390396,0.07000013948143122,-0.027458443131810686,0.24750691815961862,0.6362247179634867,0.18192703204965927,0.07129779651047972,0.3919032576259371,0.17778271707393806,0.06999090023879298,0.39368787580001074,0,0.20200785994529724,7.925722122192383
AKATSI SOUTH,10,0.6093739436720708,0.1351771275326801,0.3438814176163138,0.8748664697278277,0.22182951689418556,0.44405014415385946,0.10509529597305643,0.23667438769402097,0.5401595362180032,0.11978785538378472,0.2217638444791605,0.9248427637808225,0.20042133331298828,15.445525169372559
AKYEMANSA,8,0.10474178821568828,0.11709702978594956,-0.1252408042460587,0.33472438067743526,1.1179590474894214,0.2183740897954786,0.0961531300095306,0.44031382156914406,0.27459434518515896,0.11789140652166262,0.42932933102525633,0.4539233700461984,0.22752535343170166,16.856361389160156
AMANSIE CENTRAL,7,0.3333333333333333,5.551115123125782e-17,0.3333333333333332,0.3333333333333334,1.6653345369377348e-16,0.33124726261167803,0.022100835107883098,0.06672005357457689,0.3300644669725542,0.021405072100417203,0.0648511858812027,0.42857142857142855,0.25176966190338135,26.3335018157959
AOWIN,19,0.21615790402643453,0.10173468994057877,0.016347475200051587,0.4159683328528175,0.4706498723643127,0.2371103092781288,0.07945104970339457,0.33508053675641336,0.2547366783912431,0.07812436372915768,0.3066867489304725,0.6421580209278929,0.3827640414237976,59.214229583740234
ASANTE AKIM SOUTH,3,0.33333333333333337,2.775557561562891e-17,0.3333333333333333,0.3333333333333334,8.326672684688673e-17,0.33169270425323366,0.02091356910671324,0.06305103741668854,0.33282312447896195,0.022134697978384243,0.06650588961640314,0,0.20684856176376343,20.40123176574707
ASSIN FOSO,6,0.16666666666666669,2.0816681711721688e-17,0.16666666666666666,0.1666666666666667,1.249000902703301e-16,0.16842357351670245,0.014040325936544149,0.08336318748842945,0.17044970262400028,0.014007059271472382,0.08217708248145755,0.5,0.21052080392837524,24.432044982910156
ASSIN NORTH,7,0.33333333333333337,4.1633363423443376e-17,0.3333333333333333,0.3333333333333334,1.249000902703301e-16,0.3315220920370867,0.022399039777039133,0.0675642447820141,0.3304280319731316,0.021683283003040416,0.06562180234394753,0.5714285714285714,0.24829070270061493,20.802560806274414
ASSIN SOUTH,21,0.32370481362582076,0.06337792311597444,0.19922839360306427,0.44818123364857726,0.19578925134315336,0.3131867071058472,0.05573175172091709,0.17795056576932408,0.28850889199423396,0.050949533465580885,0.1765960595301137,0.8534965341038887,0.22809502482414246,47.58395004272461
ASUNAFO NORTH,77,0.22881186229896366,0.054635357054291726,0.1215061426031862,0.3361175819947411,0.2387785165740473,0.23483151527934099,0.04962534774835062,0.21132320203836094,0.20845479696474314,0.042356722397559034,0.20319380035530202,0.6612824444134705,0.34139102697372437,26.4415225982666
ASUNAFO SOUTH,41,0.27442904880412666,0.07718098947434186,0.12284293188451714,0.4260151657237362,0.28124205440594474,0.2718312172398127,0.06673820636734641,0.24551339998771807,0.24139015807668998,0.05456270863461624,0.22603534903557085,0.755774115133983,0.3428555727005005,17.642881393432617
ASUTIFI NORTH,28,0.04278647884713405,0.03609370664608455,-0.028102801958657463,0.11367575965292556,0.8435774015206722,0.14761192943393267,0.06616919940495668,0.4482645790127167,0.14079836186016328,0.056108684393252055,0.39850381532831697,0.5045803278947537,0.29746729135513306,23.021953582763672
ASUTIFI SOUTH,25,0.2407358710444487,0.05759166483510644,0.12762386122509217,0.35384788086380525,0.23923175464147137,0.2444774830152582,0.0507723554985601,0.2076770215087306,0.2269854348552721,0.046457252492813225,0.20467063237971536,0.8786107982902467,0.3113047778606415,15.061627388000488
ATEBUBU-AMANTEN,45,0.3584343341450122,0.05771551215388954,0.24507908393351902,0.47178958435650536,0.16102115968203956,0.34421180005217544,0.051981609062776504,0.15101634823355028,0.3420626990255993,0.051815815608812626,0.1514804617878982,0.6907107763156978,0.2575796842575073,30.240230560302734
ATIWA EAST,7,0.16666666666666666,1.3877787807814455e-17,0.16666666666666663,0.16666666666666669,8.326672684688674e-17,0.16879557856511546,0.014110173829835919,0.0835932667773801,0.1658915730039061,0.013526234677458365,0.08153659907209315,0.7142857142857142,0.1892840415239334,56.60380935668945
ATWIMA-KWANWOMA,9,0.20584879988387147,0.051412158950516464,0.10487355208203585,0.3068240476857071,0.24975690399711034,0.21694640985332572,0.04772801556075754,0.21999910297213837,0.21569546007598783,0.05135932921118784,0.23811038578695326,0.4499676809084376,0.15502117574214935,8.734023094177246
AWUTU SENYA,7,0.636331570636913,0.14023196916011174,0.36091116183224814,0.9117519794415779,0.22037562747319236,0.4510807314827809,0.1093126153676887,0.24233492529897943,0.43126477889215753,0.11547835542171112,0.2677667202927038,0.399968959500636,0.15822246670722961,4.767773151397705
AYAWASO NORTH,10,0.10982521753617902,0.10550477783921303,-0.09738979354409644,0.3170402286164545,0.9606607681378574,0.21290291283651483,0.09319819297783954,0.4377497317258648,0.14829100255659422,0.12993381747947422,0.8762083689459573,0.08659862336851104,0.0734393522143364,0.7719780802726746
BAWKU MUNICIPAL,41,0.2422193832119362,0.10237074197346673,0.041159726324589335,0.4432790400992831,0.42263645714882675,0.251346915112584,0.0772577373445137,0.30737491769058795,0.3016695661851294,0.08115376621812231,0.26901542387712934,0.42365529379881056,0.12651704251766205,13.083562850952148
BAWKU WEST,26,0.24300792975232116,0.018591083109141742,0.2064944033381333,0.27952145616650903,0.07650401831779798,0.24392363672574882,0.018423328148508316,0.07552908113297055,0.24840988754013527,0.017662928156421287,0.07110396583375736,0.7767344073358267,0.13948027789592743,24.121902465820313
BEREKUM,14,0.07007078418665262,0.07380486315956805,-0.07488450457472491,0.21502607294803017,1.053290098237929,0.1952903851261648,0.08702272938354354,0.44560682968249377,0.15398908591905036,0.06910448785757213,0.44876224470803905,0.5005278956137127,0.2253347486257553,26.2347354888916
BIA EAST,15,0.10427494146598727,0.04072232576519446,0.024294893571766715,0.18425498936020784,0.3905283972609795,0.14226376165956153,0.044955489596808666,0.3160009905009229,0.12350770386355656,0.0378662947673,0.30659054927563284,0.6010390721215121,0.34545448422431946,29.201234817504883
BIA WEST,23,0.08244803268540066,0.05786527068811857,-0.03120134843622939,0.19609741380703072,0.7018393138489643,0.16896507464644728,0.06994150226281852,0.4139405874803911,0.11609946239495954,0.05487605057259379,0.4726641229906008,0.7644836908763633,0.37088873982429504,34.14525604248047
