time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density,rainfall_sep_dec,temp_sep_dec,elev_std,rainfall_std,temp_std,travel_std,poverty_std,illiteracy_std,pop_dens_std
1,2014,DHS 2014,1,Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.5245785172697,230.9906768798828,231.10789489746094,123.286865234375,124.16492462158203,0.262,0.1,0.6908514900687963,0.3091485099312037,18411,151258,0.12171918179534305,106.70573356704392,324.17681884765625,NA,0.6346780201728257,-0.10087098921373935,NA,0.27010200418593,-0.10297798518856105,-0.19935212032207145,-0.45926404136453486
2,2022,DHS 2022,1,Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.5245785172697,230.9906768798828,231.10789489746094,123.286865234375,124.16492462158203,0.262,0.1,0.6908514900687963,0.3091485099312037,18411,151258,0.12171918179534305,106.70573356704392,498.60443115234375,NA,0.6346780201728257,0.4268231842389682,NA,0.27010200418593,-0.10297798518856105,-0.19935212032207145,-0.45926404136453486
1,2014,DHS 2014,2,Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.4042481016039,209.552001953125,213.5439910888672,101.25437927246094,106.18099212646484,0.261,0.1,0.6595255230555699,0.3404744769444301,11365,91693,0.12394621181551481,98.87058441633789,347.8316955566406,NA,0.4076582554249432,-0.029308118816425765,NA,-0.03636559254730016,-0.11040702962502774,-0.029389056632423458,-0.507020685381197
2,2022,DHS 2022,2,Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.4042481016039,209.552001953125,213.5439910888672,101.25437927246094,106.18099212646484,0.261,0.1,0.6595255230555699,0.3404744769444301,11365,91693,0.12394621181551481,98.87058441633789,573.7142333984375,NA,0.4076582554249432,0.6540521446699288,NA,-0.03636559254730016,-0.11040702962502774,-0.029389056632423458,-0.507020685381197
1,2014,DHS 2014,3,Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355478956202,256.3790283203125,256.49298095703125,101.65795135498047,101.95581817626953,0.23199999999999998,0.1,0.7004844775929113,0.2995155224070887,8905,73556,0.12106422317689923,78.23978166195951,318.09124755859375,NA,0.9035219478424988,-0.1192816093497295,NA,-0.03075198333169983,-0.32584931828256186,-0.2516171332869215,-0.653334444466144
2,2022,DHS 2022,3,Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355478956202,256.3790283203125,256.49298095703125,101.65795135498047,101.95581817626953,0.23199999999999998,0.1,0.7004844775929113,0.2995155224070887,8905,73556,0.12106422317689923,78.23978166195951,500.54595947265625,NA,0.9035219478424988,0.4326968711437267,NA,-0.03075198333169983,-0.32584931828256186,-0.2516171332869215,-0.653334444466144
1,2014,DHS 2014,4,Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596913577988,200.98391723632813,201.39442443847656,76.958892822265625,77.93331146240234,0.266,0.1,0.6535052235393436,0.3464947764606564,8622,67334,0.12804823714616687,112.26829840391947,324.8949890136719,NA,0.31692855392089053,-0.09869831593600152,NA,-0.374311086157376,-0.07326180744269427,0.00327485282247379,-0.42742327146819276
2,2022,DHS 2022,4,Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596913577988,200.98391723632813,201.39442443847656,76.958892822265625,77.93331146240234,0.266,0.1,0.6535052235393436,0.3464947764606564,8622,67334,0.12804823714616687,112.26829840391947,506.434326171875,NA,0.31692855392089053,0.45051089013575973,NA,-0.374311086157376,-0.07326180744269427,0.00327485282247379,-0.42742327146819276
1,2014,DHS 2014,5,Tano North,GHA1.5_2,Ahafo,tano north,841.0711354108049,271.2559509277344,271.4891662597656,57.303585052490234,57.58964538574219,0.21600000000000003,0.1,0.7261663286004056,0.27383367139959436,10962,93838,0.116818346512074,111.56963549125562,337.7601318359375,NA,1.0610575922817016,-0.05977752341785472,NA,-0.6477125963486364,-0.44471402926602854,-0.3909573195487481,-0.4313355533511506
2,2022,DHS 2022,5,Tano North,GHA1.5_2,Ahafo,tano north,841.0711354108049,271.2559509277344,271.4891662597656,57.303585052490234,57.58964538574219,0.21600000000000003,0.1,0.7261663286004056,0.27383367139959436,10962,93838,0.116818346512074,111.56963549125562,456.0090637207031,NA,1.0610575922817016,0.2979598299066798,NA,-0.6477125963486364,-0.44471402926602854,-0.3909573195487481,-0.4313355533511506
