time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country
1,2014,DHS 2014,1,Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.524579,230.9906769,231.1078949,123.2868652,124.1649246,324.1768188,0.030972043,8.709345818,0.63467802,-0.100870989,-0.600458563,-0.662568087,0.270102004,GHA
2,2022,DHS 2022,1,Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.524579,230.9906769,231.1078949,123.2868652,124.1649246,498.6044312,0.158105895,8.790083885,0.63467802,0.426823184,-0.488939404,-0.137590367,0.270102004,GHA
1,2014,DHS 2014,2,Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.4042481,209.552002,213.5439911,101.2543793,106.1809921,347.8316956,0.016457547,8.704545021,0.407658255,-0.029308119,-0.614056118,-0.693783984,-0.036365593,GHA
2,2022,DHS 2022,2,Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.4042481,209.552002,213.5439911,101.2543793,106.1809921,573.7142334,0.085234426,8.771869659,0.407658255,0.654052145,-0.551266329,-0.256023505,-0.036365593,GHA
1,2014,DHS 2014,3,Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355479,256.3790283,256.492981,101.6579514,101.9558182,318.0912476,0.252990752,8.610567093,0.903521948,-0.119281609,-0.413418504,-1.30485036,-0.030751983,GHA
2,2022,DHS 2022,3,Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355479,256.3790283,256.492981,101.6579514,101.9558182,500.5459595,0.451017082,8.713536263,0.903521948,0.432696871,-0.272699182,-0.635320838,-0.030751983,GHA
1,2014,DHS 2014,4,Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596914,200.9839172,201.3944244,76.95889282,77.93331146,324.894989,0.055902403,8.679309845,0.316928554,-0.098698316,-0.577543904,-0.857868976,-0.374311086,GHA
2,2022,DHS 2022,4,Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596914,200.9839172,201.3944244,76.95889282,77.93331146,506.4343262,0.340492487,8.732683182,0.316928554,0.45051089,-0.348680604,-0.510823109,-0.374311086,GHA
1,2014,DHS 2014,5,Tano North,GHA1.5_2,Ahafo,tano north,841.0711354,271.2559509,271.4891663,57.30358505,57.58964539,337.7601318,0.051508106,8.57069397,1.061057592,-0.059777523,-0.581543364,-1.564114693,-0.647712596,GHA
2,2022,DHS 2022,5,Tano North,GHA1.5_2,Ahafo,tano north,841.0711354,271.2559509,271.4891663,57.30358505,57.58964539,456.0090637,0.265771478,8.685652733,1.061057592,0.29795983,-0.403685821,-0.816626042,-0.647712596,GHA
